Date,Borlänge,Bräkne-Hoby,Eskilstuna,Forshaga,FYR,Gävle,Göteborg,Hässleholm,Jönköping,Kristianstad,Malmö,Norrköping,Nässjö,Skövde,Stockholm,Sundsvall,Umeå,Visby,Västervik,Östersund
2018-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2018-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2018-05-04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018-05-05,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
2018-05-06,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018-05-07,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2018-05-08,0,3,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0
2018-05-09,0,2,0,1,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0
2018-05-10,0,1,0,0,0,0,4,0,0,1,7,0,2,0,0,0,0,2,0,0
2018-05-11,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0
2018-05-12,0,0,2,0,0,0,1,0,0,2,2,0,0,0,2,0,0,0,0,0
2018-05-13,0,0,0,0,0,0,3,2,0,4,7,0,2,0,0,0,0,2,0,0
2018-05-14,0,2,0,0,0,0,4,6,0,3,7,0,1,2,11,0,0,0,0,0
2018-05-15,1,2,0,0,0,0,9,4,2,9,7,0,2,2,1,0,0,1,1,0
2018-05-16,0,0,1,0,0,0,4,1,11,9,7,4,2,2,0,0,0,0,2,0
2018-05-17,1,6,7,0,0,0,7,2,18,10,5,13,3,4,0,0,0,0,0,0
2018-05-18,4,0,3,0,0,2,4,1,16,3,7,4,1,5,2,0,0,0,1,0
2018-05-19,2,4,1,3,0,3,4,4,8,4,10,10,0,11,1,0,0,0,2,0
2018-05-20,4,0,11,2,0,2,8,4,26,3,6,12,2,6,8,0,0,0,5,0
2018-05-21,0,2,4,0,0,1,11,5,1,8,11,11,1,3,4,0,0,0,4,1
2018-05-22,1,7,6,3,0,0,13,4,7,7,22,19,3,17,5,0,0,2,8,0
